survey	data_release	source_name	schema_key
GALAH	Data Release 3	140314005201163	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201177	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201231	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201259	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201279	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201291	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201353	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201393	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315001701280	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002101006	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501005	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501011	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501045	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501057	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501073	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501120	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501151	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501155	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501163	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501177	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501210	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501231	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501259	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501279	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501291	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140315002501353	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316003801006	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901016	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901046	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901308	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901313	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901314	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901319	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901320	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901327	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901328	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901329	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901332	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901333	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901336	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901342	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901344	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901352	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901379	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901382	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901383	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901387	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140413004901395	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101012	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101037	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101079	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101122	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101123	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101127	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101131	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101133	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101134	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101139	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101141	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101145	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101152	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140608003101192	galah.dr3.spectra.hermes.spectrum_1d
